Island,Year,collection_id,img0: id0,img0: id1,img1: id0,img1: id1
Dominica,1951,NCAP_DOS_3_DO,1,7,1,8
Dominica,1951,NCAP_DOS_3_DO,1,108,1,67
Dominica,1951,NCAP_DOS_3_DO,1,67,1,66
Dominica,1951,NCAP_DOS_3_DO,1,66,1,33
Dominica,1951,NCAP_DOS_3_DO,1,33,1,32
Dominica,1951,NCAP_DOS_3_DO,1,32,1,109
Dominica,1951,NCAP_DOS_3_DO,2,140,2,141
Dominica,1951,NCAP_DOS_3_DO,2,141,2,171
Dominica,1951,NCAP_DOS_3_DO,2,171,2,172
Dominica,1951,NCAP_DOS_3_DO,2,173,2,193
Dominica,1951,NCAP_DOS_3_DO,2,193,2,192
Montserrat,1968,NCAP_DOS_99_MO,2,2,2,3
Montserrat,1968,NCAP_DOS_99_MO,1,19,1,18
Montserrat,1968,NCAP_DOS_99_MO,1,13,1,14
Montserrat,1968,NCAP_DOS_99_MO,1,22,1,23
Montserrat,1968,NCAP_DOS_99_MO,1,23,1,24
Montserrat,1968,NCAP_DOS_99_MO,1,26,1,25
Montserrat,1968,NCAP_DOS_99_MO,1,30,1,31
Montserrat,1968,NCAP_DOS_99_MO,1,31,1,32
Montserrat,1968,NCAP_DOS_99_MO,1,41,1,40
Montserrat,1968,NCAP_DOS_99_MO,1,40,1,39
Montserrat,1968,NCAP_DOS_99_MO,1,39,1,38
Montserrat,1968,NCAP_DOS_99_MO,1,37,1,36
Montserrat,1968,NCAP_DOS_99_MO,2,1,1,1
Montserrat,1968,NCAP_DOS_99_MO,1,4,1,22
Montserrat,1968,NCAP_DOS_99_MO,1,35,1,36
Montserrat,1968,NCAP_DOS_99_MO,1,14,1,34
Montserrat,1952,NCAP_DOS_8_MO,3,5,3,6
Montserrat,1952,NCAP_DOS_8_MO,3,7,3,6
Montserrat,1952,NCAP_DOS_8_MO,1,3,3,2
Montserrat,1952,NCAP_DOS_8_MO,1,3,2,2